name,ik,standortnummer,anzahl_standorte,strasse,hausnummer,plz,ort,telefon,email,betten,vollstationaere_fallzahl,teilstationaere_fallzahl,ambulante_fallzahl,staeb_fallzahl,traeger_name,traeger_art,lehrkrankenhaus,universitaet,notfallstufe,notdienst,notdienstpraxis,hat_bg_zulassung,hat_darzt,hat_dialyse,hat_onkologie,hat_radiologie,hat_intensivmedizin,hat_notaufnahme,hat_psychiatrie,hat_geriatrie,anzahl_fachabteilungen,fachabteilungen,fachabteilung_schluessel,apparative_ausstattung,url_zugang,url_internetseite,url_weitere_infos
"Knappschaft Kliniken Saar GmbH, Krankenhaus Sulzbach",261000477,,1,An der Klinik,10,66280,Sulzbach,+496897-5740,Geschaeftsfuehrung.Saar@Knappschaft-Kliniken.de,305,18321,51,119671,0,Knappschaft Kliniken Saar GmbH (KBS),öffentlich,Ja,"Universität des Saarlandes, Homburg",,ja,nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,7,Neurologie; Innere Medizin; Urologie; Augenheilkunde; Allgemein- und Viszeralchirurgie; Radiologie und Nuklearmedizin; Anästhesie und Intensivmedizin,,AA50; AA43; AA32; AA30; AA22; AA08; AA21; AA10; AA14; AA33; AA01; AA57; AA18; AA69,https://www.knappschaft-kliniken.de/sulzbach/,https://www.knappschaft-kliniken.de/sulzbach/,
Marienhaus Klinikum Neunkirchen,261000898,,1,Klinikweg,1-5,66539,Neunkirchen,+496821-363-0,info.mkn@marienhaus.de,184,13869,0,41136,0,"Marienhauskliniken im Landkreis Neunkirchen GmbH, ein Unternehmen der Marienhaus-Gruppe",freigemeinnützig,Ja,"Universitätsklinikum des Saarlandes, Homburg Saar",,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,5,Innere Medizin; Allgemein- und Viszeralchirurgie (inkl. Unfallchirurgie); Pädiatrie; Frauenheilkunde und Geburtshilfe; Intensivmedizin,,AA18; AA08; AA50; AA10; AA47; AA38,https://www.marienhaus-neunkirchen.de,https://www.marienhaus-neunkirchen.de,
CaritasKlinikum Saarbrücken,261000934,773075000,2,Rheinstraße,2,66113,Saarbrücken,+49681-406-0,info@caritasklinikum.de,496,22977,44,59188,0,Caritas Trägergesellschaft Saarbrücken mbH (cts),freigemeinnützig,Ja,Universität des Saarlandes,,nein,nein,Ja,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Ja,17,"Allgemeine Chirurgie; Unfallchirurgie; Gefäßchirurgie; Frauenheilkunde und Geburtshilfe; Urologie; Intensivmedizin; Innere Medizin/Schwerpunkt Gastroenterologie; Innere Medizin/Schwerpunkt Kardiologie; Innere Medizin/ Schwerpunkt Pneumologie; Neurologie; Hämatologie und internistische Onkologie; Palliativmedizin; Klinik für Radioonkologie; Radiologie; Hals-, Nasen-, Ohrenheilkunde; Geriatrie; Notfall- und Akutmedizin",,AA21; AA38; AA72; AA50; AA18; AA32; AA33; AA15; AA69; AA01; AA43; AA08; AA23; AA57; AA14; AA47; AA10; AA22,http://www.caritasklinikum.de,http://www.caritasklinikum.de,
CaritasKlinikum Saarbrücken,261000934,773616000,2,Rheinstraße,2,66113,Saarbrücken,+49681-406-0,info@caritasklinikum.de,118,2632,165,3834,0,Caritas Trägergesellschaft Saarbrücken mbH (cts),freigemeinnützig,Ja,Universität des Saarlandes,,nein,nein,Nein,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,5,Orthopädie; Radiologie; Psychosomatik/Psychotherapie; Schmerztherapie; Psychosomatik/Psychotherapie/Tagesklinik (für teilstationäre Pflegesätze),,AA71,http://www.caritasklinikum.de,http://www.caritasklinikum.de,
MEDIAN Klinik Berus - Fachkrankenhaus,261000978,,1,Orannastraße,55,66802,Überherrn-Berus,+496836-39418,berus-krankenhaus@median-kliniken.de,36,266,0,0,0,"MEDIAN Klinik Berus GmbH &amp; Co. KG
Orannastraße 55
66802 Überherrn-Berus",privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Psychosomatik/Psychotherapie,,AA10,https://www.median-kliniken.de/de/median-klinik-berus-fachkrankenhaus,https://www.median-kliniken.de/de/median-klinik-berus-fachkrankenhaus/,https://www.median-kliniken.de/de/median-klinik-berus-fachkrankenhaus/ueber-uns/qualitaet-zertifikate/
Diakonie Klinikum Neunkirchen gemeinnützige GmbH,261000990,,1,Brunnenstraße,20,66538,Neunkirchen,+496821-180,info@kreuznacherdiakonie.de,281,9268,31,30804,0,"Stiftung kreuznacher diakonie, Kirchliche Stiftung des öffentlichen Rechts",,Ja,Universität des Saarlandes,,nein,ja,Ja,Ja,Nein,Ja,Nein,Ja,Nein,Nein,Nein,6,"Intensivmedizin; Hämatologie und internistische Onkologie; Innere Medizin; Allgemein-, Viszeral- und Unfallchirurgie; Orthopädie; Neurologie",,AA43; AA08; AA10; AA22; AA33; AA14; AA01,https://www.kreuznacherdiakonie.de/krankenhaeuser/diakonie-klinikum-neunkirchen/,http://www.kreuznacherdiakonie.de/Krankenhaeuser/Diakonie-Klinikum-Neunkirchen/,
Johannesbad Saarschleife,261001070,,1,Cloefstraße,1a,66693,Mettlach-Orscholz,+496865-90-0,info.saarschleife@johannesbad.com,15,101,0,0,0,Johannesbad Saarschleife GmbH & Co. KG,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Psychosomatik/Psychotherapie,,,https://www.johannesbad-medizin.com/saarschleife,https://www.johannesbad-medizin.com/saarschleife,
Evangelische Elisabeth Klinik,261100025,,1,Lützowstraße,24-26,10785,Berlin,+4930-2506-1,elisabeth@jsd.de,145,7659,0,26684,0,Evangelische Elisabeth Klinik Krankenhausbetriebs gGmbH,freigemeinnützig,Ja,Charité - Universitätsmedizin Berlin,,nein,nein,Nein,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Nein,5,Innere Medizin; Allgemeine Chirurgie; Unfallchirurgie; Plastische Chirurgie; Intensivmedizin,,AA08; AA71; AA14; AA50; AA22; AA10; AA21; AA57,https://www.johannesstift-diakonie.de/medizinische-versorgung/evangelische-elisabeth-klinik,https://www.johannesstift-diakonie.de/medizinische-versorgung/evangelische-elisabeth-klinik,
Franziskus-Krankenhaus Berlin,261100036,,1,Budapester Str.,15-19,10787,Berlin,+4930-2638-0,info@franziskus-berlin.de,185,6760,0,18714,0,St. Joseph Krankenhaus Berlin Tempelhof GmbH,freigemeinnützig,Ja,Charité Universitätsmedizin - Berlin,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,5,Klinik für Innere Medizin; Klinik für Chirurgie; Klinik für Urologie; Klinik für Anästhesie; Klinik für Palliativmedizin,,AA08; AA33; AA71; AA22; AA21; AA72; AA01; AA14; AA10,http://www.franziskus-berlin.de/,https://www.franziskus-berlin.de/,
DRK Kliniken Berlin Mitte,261100070,,1,Drontheimer Straße,39-40,13359,Berlin,+4930-3035-6000,mitte@drk-kliniken-berlin.de,260,10534,0,15213,0,Deutsches Rotes Kreuz Schwesternschaft Berlin Gemeinnütziges Krankenhaus GmbH,freigemeinnützig,Ja,Charité - Universitätsmedizin Berlin,,nein,nein,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,8,"Klinik für Anästhesie, Schmerztherapie, Intensiv- und Notfallmedizin; Klinik für Allgemein-, Viszeral- und Minimalinvasive Chirurgie; Klinik für Gefäßchirurgie-Vaskuläre und Endovaskuläre Chirurgie; Klinik für Innere Medizin - Schwerpunkt Diabetologie und Angiologie; Klinik für Innere Medizin - Pneumologie und Schlafmedizin; Klinik für Thoraxchirurgie; Institut für diagnostische und interventionelle Radiologie; Klinik für Innere Medizin - Schwerpunkt Gastroenterologie, Hämatologie, Onkologie und Abhängigkeitserkrankungen",,AA01; AA08; AA14; AA22; AA57; AA70; AA71; AA72,https://www.drk-kliniken-berlin.de/mitte,https://www.drk-kliniken-berlin.de/mitte,https://www.drk-kliniken-berlin.de/mitte/auflistung-kliniken
Jüdisches Krankenhaus Berlin - Stiftung des bürgerlichen Rechts,261100081,,1,Heinz-Galinski-Straße,1,13347,Berlin,+4930-4994-0,kontakt@jkb-online.de,384,10857,137,29472,46,Jüdisches Krankenhaus Berlin - Stiftung des bürgerlichen Rechts,freigemeinnützig,Ja,Charité-Universitätsmedizin Berlin,,ja,ja,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Ja,Nein,8,"Klinik für Innere Medizin - Kardiologie, Angiologie und Intensivmedizin; Gastroenterologie und Diabetologie; Klinik für Orthopädie und Unfallchirurgie; Klinik für Allgemein-, Viszeral- und Minimal-invasive Chirurgie; Klinik für Gefäßchirurgie; Klinik für Neurologie; Klinik für Psychiatrie und Psychotherapie; Klinik für Anästhesiologie und Intensivmedizin",,AA70; AA50; AA22; AA43; AA18; AA57; AA15; AA14; AA10; AA01; AA08; AA69,http://www.juedisches-krankenhaus.de,http://www.jkb.de,
Sana Paulinenkrankenhaus gGmbH,261100149,,1,Dickensweg,25 - 39,14055,Berlin,+4930-30008-0,info@paulinenkrankenhaus.de,148,2022,0,0,0,Sana Paulinenkrankenhaus gGmbH,,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Innere Medizin,,AA08; AA14; AA22,https://www.sana.de/paulinenkrankenhaus,https://www.sana.de/paulinenkrankenhaus,https://www.sana.de/paulinenkrankenhaus/ueber-uns
Schlosspark-Klinik GmbH,261100229,,1,Heubnerweg,2,14059,Berlin,+4930-3264-0,Info@parkkliniken.de,340,8742,351,19021,0,Schlosspark-Klinik GmbH,privat,Ja,Charité - Universitätsmedizin Berlin,,nein,nein,Ja,Ja,Nein,Nein,Ja,Nein,Nein,Ja,Nein,14,Innere Medizin Gastroenterologie; Innere Medizin Kardiologie; Innere Medizin Rheumatologie; Neurologie; Psychiatrie; Allgemeine Chirurgie; Gefäßchirurgie; Orthopädie und Unfallchirurgie; Neurochirurgie; Augenheilkunde; Anästhesie; Radiologie; Mund-Kiefer-Gesichtchirurgie I; Mund-Kiefer-Gesichtschirurgie II,,AA08; AA10; AA14; AA43; AA22; AA15; AA01; AA69; AA70; AA50,https://www.parkkliniken-charlottenburg.de,http://www.parkkliniken-charlottenburg.de,https://www.parkkliniken-charlottenburg.de
Wichernkrankenhaus gGmbH,261100252,,1,Schönwalder Allee,"26, Haus 51",13587,Berlin,+4930-688309-030,wichernkrankenhaus@jsd.de,99,1866,290,0,0,Wichernkrankenhaus gGmbH,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,2,Geriatrie; Geriatrie teilstationär (Tagesklinik),,,,https://www.johannesstift-diakonie.de/medizinische-versorgung/wichernkrankenhaus/,https://www.johannesstift-diakonie.de
Evangelisches Waldkrankenhaus Spandau,261100263,,1,Stadtrandstraße,555,13589,Berlin,+4930-3702-0,waldkrankenhaus@jsd.de,536,23079,252,75152,0,Evangelisches Waldkrankenhaus Spandau Krankenhausbetriebs gGmbH,freigemeinnützig,Ja,Charité - Universitätsmedizin Berlin,,nein,nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Ja,10,"Klinik für Innere Medizin I - Gastroenterologie, Hämatologie und Onkologie; Klinik für Frauenheilkunde und Geburtshilfe; Klinik für Orthopädie und Unfallchirurgie; Klinik für Allgemein-, Gefäß- und Viszeralchirurgie; Klinik für Anästhesie und perioperative Medizin, interdisziplinäre Intensivmedizin; Klinik für Kinder- und Jugendmedizin; Klinik für Innere Medizin II - Akutgeriatrie und geriatrische Tagesklinik; Perinatalzentrum Neonatologie; Klinik für Bildgebende Diagnostik und Interventionsradiologie; Klinik für Kardiologie",,AA32; AA14; AA15; AA71; AA38; AA08; AA01; AA10; AA72; AA69; AA47; AA23; AA22; AA50; AA57,,http://www.jsd.de,
Havelklinik GmbH & Co. KG,261100285,,1,Gatower Str.,191,13595,Berlin,+4930-36206-0,verwaltung-ber@artemed.de,91,5395,0,48,0,Havelklinik Verwaltungs GmbH,privat,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,2,Sonstige Fachabteilung (importiert am 20.07.2009 15:49); Orthopädie (importiert am 20.07.2009 15:49),,,http://www.havelklinik.de,http://www.havelklinik.de,
"Martin Luther Krankenhaus, Berlin",261100310,,1,Caspar-Theyß-Straße,27-31,14193,Berlin,+4930-8955-2011,martin-luther@jsd.de,275,15275,0,31005,0,Johannesstift Diakonie gAG,freigemeinnützig,Ja,Charité Universitätsmedizin Berlin,,nein,nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Nein,8,"Klinik für Innere Medizin; Klinik für Allgemein-, Gefäß- und Viszeralchirurgie; Klinik für Gynäkologie und Geburtshilfe; Klinik für Anästhesiologie, Intensivmedizin und Schmerztherapie; Klinik für Kardiologie; Klinik für Orthopädie und Unfallchirurgie; Klinik für Plastische, Rekonstruktive und Ästhetische Chirurgie, Handchirurgie; Klinik für Radiologie und Nuklearmedizin",,AA10; AA08; AA14; AA47; AA38; AA22; AA23; AA15; AA18; AA32; AA01; AA69; AA57; AA50,https://www.johannesstift-diakonie.de/medizinische-versorgung/martin-luther-krankenhaus,https://www.johannesstift-diakonie.de/medizinische-versorgung/martin-luther-krankenhaus/,
Sankt Gertrauden-Krankenhaus GmbH,261100321,,1,Paretzer Straße,12,10713,Berlin,+4930-8272-0,info@sankt-gertrauden.de,396,16700,80,47336,0,Sankt Gertrauden-Krankenhaus GmbH,freigemeinnützig,Ja,Das Sankt Gertrauden-Krankenhaus ist Akademisches Lehrkrankenhaus der medizinischen Fakultät Charité - Universitätsmedizin Berlin.,,nein,nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,14,Allgemein- und Visceralchirurgie; Augenheilkunde; Angiologie; Gefäßchirurgie; Frauenheilkunde und Geburtshilfe; Geriatrie; Hals-Nasen-Ohrenheilkunde; Innere Medizin - Gastroenterololgie; Innere Medizin - Kardiologie; Neurochirurgie; Unfallchirurgie und Orthopädie; Anästhesie und Intensivmedizin; Laboratoriumsmedizin; Radiologie,,AA69; AA14; AA10; AA22; AA01; AA23; AA72; AA38; AA50; AA08; AA43; AA47,https://sankt-gertrauden.eu/,https://sankt-gertrauden.eu/,https://sankt-gertrauden.eu/
DRK Kliniken Berlin Wiegmann Klinik,261100387,,1,Spandauer Damm,130,14050,Berlin,+4930-3035-5755,info@wiegmann-klinik.de,59,274,224,0,0,Dritte Gemeinnützige Krankenhaus GmbH Deutsches Rotes Kreuz - Schwesternschaft Berlin,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,"Klinik für Psychogene Störungen, Psychosomatische Medizin und Psychotherapie",,,https://www.drk-kliniken-berlin.de/wiegmann-klinik,https://www.drk-kliniken-berlin.de/wiegmann-klinik,https://www.drk-kliniken-berlin.de/wiegmann-klinik/leistungen
Evangelisches Krankenhaus Hubertus Krankenhausbetriebs gGmbH,261100445,,1,Spanische Allee,10-14,14129,Berlin,+4930-81008-0,hubertus@jsd.de,207,5416,78,12221,0,Johannesstift Diakonie gAG,freigemeinnützig,Ja,Akademisches Lehrkrankenhaus der Charité-Universitätsmedizin Berlin,,nein,nein,Ja,Ja,Nein,Nein,Ja,Ja,Nein,Nein,Ja,7,Klinik für Innere Medizin/ Angiologie/ Kardiologie; Klinik für Innere Medizin II / Akutgeriatrie und Frührehabilitation; Geriatrische Tagesklinik; Klinik für Allgemeinchirurgie/ Orthopädie/ Unfallchirurgie und Sportmedizin; Klinik für Gefäßchirurgie und endovaskuläre Therapie; Klinik für Diagnostische und Interventionelle Radiologie; Klinik für Anästhesie und Intensivmedizin,,AA57; AA22; AA08; AA01; AA14; AA69,https://www.johannesstift-diakonie.de/medizinische-versorgung/evangelisches-krankenhaus-hubertus,http://www.jsd.de,https://www.johannesstift-diakonie.de/medizinische-versorgung/evangelisches-krankenhaus-hubertus
Krankenhaus Waldfriede e.V.,261100456,,1,Argentinische Allee,40,14163,Berlin,+4930-81810,info@waldfriede.de,175,11911,0,25077,0,Verein Krankenhaus Waldfriede e.V.,freigemeinnützig,Ja,Charité-Universitätsmedizin Berlin,,nein,nein,Ja,Ja,Nein,Ja,Ja,Ja,Nein,Nein,Nein,9,"Innere Medizin; Endokrine Chirurgie; Handchirurgie, Orthopädie und Unfallchirurgie; Darm-und Beckenbodenchirurgie; Allgemein- und Viszeralchirurgie, Onkologische Oberbauchchirurgie; Frauenheilkunde und Geburtshilfe; Brustzentrum; Anästhesie, Intensivmedizin, Schmerztherapie; Radiologie",,AA32; AA23; AA22; AA47; AA72; AA10; AA26; AA08; AA14; AA01; AA50; AA57; AA38; AA33; AA71,http://www.krankenhaus-waldfriede.de,http://www.krankenhaus-waldfriede.de,
Kliniken im Theodor-Wenzel-Werk,261100467,,2,Potsdamer Chaussee,69,14129,Berlin,+4930-8109-0,klinik-info@tww-berlin.de,355,2828,366,3574,120,Theodor-Wenzel-Werk e.V.,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,3,Allgemeine Psychiatrie und Psychotherapie; Psychosomatische Medizin und Psychotherapie mit internistischem Schwerpunkt; Neurologie,,AA43; AA08; AA10,http://www.tww-berlin.de/kliniken,http://www.tww-berlin.de/kliniken,
Kliniken im Theodor-Wenzel-Werk,261100467,772464000,2,Potsdamer Chaussee,69,14129,Berlin,+4930-8109-0,qm-klinik@tww-berlin.de,20,0,113,435,0,Theodor-Wenzel-Werk e.V.,freigemeinnützig,Nein,,,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Allgemeine Psychiatrie/Tagesklinik (für teilstationäre Pflegesätze),,AA08; AA10; AA43,http://www.tww-berlin.de,,
Immanuel Krankenhaus Berlin - Standort Berlin Wannsee,261100504,772972000,2,Königstraße,63,14109,Berlin,+4930-80505-200,berlin@immanuel.de,190,4426,737,7564,0,Immanuel-Krankenhaus GmbH,freigemeinnützig,Ja,"Charité-Universitätsmedizin, eine gemeinsame Einrichtung der Freien Universität Berlin und der Humboldt Universität Berlin",,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,5,"Innere Medizin/Schwerpunkt Rheumatologie, Klinische Immunologie und Osteologie; Innere Medizin/Schwerpunkt Naturheilkunde; Obere Extremität, Hand- und Mikrochirurgie; Untere Extremität, Endoprothetik, Fuß- und Wirbelsäulenchirurgie; Anästhesiologie",,AA01; AA08; AA10; AA22; AA26; AA15,https://berlin.immanuel.de,https://berlin.immanuel.de,https://naturheilkunde.immanuel.de
Immanuel Krankenhaus Berlin,261100504,772973000,2,Königstraße,63,14109,Berlin,+4930-94792-370,berlin@immanuel.de,85,2357,91,22067,0,Immanuel-Krankenhaus GmbH,freigemeinnützig,Ja,"Charité-Universitätsmedizin, eine gemeinsame Einrichtung der Freien Universität Berlin und der Humboldt Universität Berlin",,nein,nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,2,"Innere Medizin/Schwerpunkt Rheumatologie, Klinische Immunologie und Osteologie; Innere Medizin/Schwerpunkt Naturheilkunde",,AA22; AA08; AA26,http://berlin.immanuel.de,https://berlin.immanuel.de,https://naturheilkunde.immanuel.de
Westklinik Dahlem Betriebsgesellschaft mbH,261100593,,1,Clayallee,225B,14195,Berlin,+4930-830000-0,info@westklinik-dahlem.de,30,1492,0,1398,0,Westklinik Dahlem Besitzgesellschaft mbH,privat,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,1,Orthopädie,,,http://www.westklinik-dahlem.de,http://www.westklinik-dahlem.de,
Krankenhaus Bethel Berlin,261100797,,1,Promenadenstrasse,3 - 5,12207,Berlin,+4930-7791-0,KHBE@BethelNet.de,255,6738,215,8785,0,Krankenhaus Bethel Berlin gGmbH,freigemeinnützig,Ja,Medizinische Falkultät der Universität Rostock,,nein,nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,Nein,Ja,6,"Innere  Medizin; Geriatrie; Allgemeine Chirurgie; Orthopädie und Unfallchirurgie; Belegabteilung  Hals-, Nasen-, Ohrenheilkunde; Belegabteilung Urologie",,AA01; AA08; AA14; AA22; AA32; AA30,https://www.bethelnet.de,https://www.bethelnet.de,https://www.bethelnet.de
St. Marien-Krankenhaus Berlin,261100822,,1,Gallwitzallee,123-143,12249,Berlin,+4930-76783-0,info@marienkrankenhaus-berlin.de,274,6484,0,16184,0,St. Marien e. V.,freigemeinnützig,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Ja,Nein,Nein,Ja,7,"Innere Medizin I - Gastroenterologie und Kardiologie; Innere Medizin II - Klinische Geriatrie; Allgemein- und Viszeralchirurgie, minimal-invasive Chirurgie und Koloproktologie; Orthopädie und Unfallchirurgie; Plastische, Ästhetische, Rekonstruktive Mikrochirurgie, Handchirurgie; Gefäßchirurgie und Gefäßmedizin; Anästhesiologie und Intensivmedizin",,AA01; AA14; AA22; AA08,http://www.marienkrankenhaus-berlin.de,http://www.marienkrankenhaus-berlin.de,
St.Joseph Krankenhaus,261100855,,2,Wüsthoffstraße,15,12101,Berlin,+4930-7882-0,info@sjk.de,506,24351,1267,59014,0,St. Joseph Krankenhaus Berlin-Tempelhof GmbH,freigemeinnützig,Ja,Charité Universitätsmedizin - Berlin,,ja,ja,Ja,Ja,Ja,Nein,Nein,Ja,Nein,Ja,Ja,12,"Klinik für Allgemein- und Visceralchirurgie; Medizinische Klinik I mit zentraler Endoskopie; Medizinische Klinik II Schwerpunkte Nephrologie, Dialyse, Hypertensiologie; Klinik für Orthopädie und Unfallchirurgie/ Klinik für Wirbelsäulenchirurgie; Klinik für Gynäkologie und Geburtshilfe; Klinik für Kinder- und Jugendmedizin; Klinik für Kinder- und Jugendmedizin: Neonatologie, Perinatalzentrum Level 1; Klinik für Kinderchirurgie und -urologie; Klinik für Kinder- und Jugendpsychiatrie; Institut für Anästhesie und Intensivmedizin; Klinik für Geriatrie; Klinik für Infektiologie",,AA22; AA38; AA32; AA23; AA14; AA01; AA47; AA69; AA50; AA21; AA72; AA57; AA10; AA08; AA33,https://www.sjk.de/,https://www.sjk.de/,
St.Joseph Krankenhaus,261100855,773900000,2,Wüsthoffstraße,15,12101,Berlin,+4930-7882-1301,info@sjk.de,48,39,65,207,0,St. Joseph Krankenhaus Berlin-Tempelhof GmbH,freigemeinnützig,Ja,Charité Universitätsmedizin - Berlin,,ja,ja,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,1,Klinik für Kinder- und Jugendpsychiatrie,,AA01; AA14; AA10; AA72; AA57; AA69; AA38; AA33; AA22; AA23; AA50; AA32; AA08; AA47; AA21,https://www.sjk.de/,https://www.sjk.de/,
Caritas-Klinik Dominikus,261100946,,1,Kurhausstraße,30,13467,Berlin,+4930-4092-0,info@caritas-gesundheit.de,240,8487,249,18590,0,Caritas-Klinik Dominikus Berlin-Reinickendorf gGmbH,freigemeinnützig,Nein,,,nein,nein,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Nein,Ja,5,"Allgemein- und Viszeralchirurgie; Geriatrie und Tagesklinik; Innere Medizin mit Zentraler Endoskopie und Funktionsdiagnostik; Anästhesie, Intensiv- und Notfallmedizin; Orthopädie und Unfallchirurgie",,AA71; AA22; AA50; AA08; AA01; AA14,http://www.caritas-gesundheit.de,https://caritas-gesundheit.de/kliniken/caritas-klinik-dominikus,
Charité - Universitätsmedizin Berlin,261101015,,1,Charitéplatz,1,10117,Berlin,+4930-45050,info@charite.de,3011,134403,10241,1645580,2781,Land Berlin,öffentlich,Nein,,,ja,ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,70,"Notaufnahme, CBF; Notaufnahmen, CCM/CVK; Chirurgische Klinik, CCM/CVK; Klinik für Allgemein-und Viszeralchirurgie, CBF; Klinik für Gefäßchirurgie; Klinik für Urologie; Centrum für Muskuloskeletale Chirurgie (CMSC), CCM/CVK; Klinik für Unfall- und Wiederherstellungschirurgie, CBF; Klinik für Mund-, Kiefer- und Gesichtschirurgie; DHZC - Klinik für Kardiologie, Angiologie und Intensivmedizin, CBF; DHZC - Klinik für Kardiologie, Angiologie und Intensivmedizin, CCM; DHZC - Klinik für Kardiologie, Angiologie und Intensivmedizin, CVK; DHZC - Klinik für Herz-, Thorax- und Gefäßchirurgie, CVK; DHZC - Klinik für Kardioanästhesiologie und Intensivmedizin, CVK; DHZC - Klinik für Angeborene Herzfehler – Kinderkardiologie, CVK; DHZC - Klinik für Chirurgie Angeborener Herzfehler – Kinderherzchirurgie, CVK; Medizinische Klinik m.S. Rheumatologie und Klinische Immunologie,; Medizinische Klinik m.S. Infektiologie und Pneumologie; Klinik für Dermatologie, Venerologie und Allergologie; Medizinische Klinik m.S. Nephrologie und Internistische Intensivmedizin, CBF/CCM/CVK; Medizinische Klinik m.S. Hepatologie und Gastroenterologie, CCM/CVK; Medizinische Klinik für Gastroenterologie, Infektiologie und Rheumatologie(einschl. AB Ernährungsmedizin), CBF; Medizinische Klinik für Endokrinologie und Stoffwechselmedizin (einschl. AB Lipidstoffwechsel); Klinik für Geriatrie und Altersmedizin, CVK/CBF; Medizinische Klinik m.S. Hämatologie, Onkologie und Tumorimmunologie, CCM; Medizinische Klinik m.S. Hämatologie, Onkologie und Tumorimmunologie, CVK; Medizinische Klinik m.S. Hämatologie, Onkologie und Tumorimmunologie, CBF; Klinik für Neurologie mit Experimentelle Neurologie; Klinik für Neurochirurgie mit Arbeitsbereich Pädiatrische Neurochirurgie (CVK); Medizinische Klinik m.S. Psychosomatik; Klinik für Psychiatrie und Psychotherapie, CCM; Klinik für Psychiatrie und Psychotherapie, CBF; Klinik für Augenheilkunde; Klinik für Hals-, Nasen-, Ohrenheilkunde, CCM/CVK; Klinik für Hals-, Nasen-, Ohrenheilkunde, CBF; Klinik für Audiologie und Phoniatrie; Klinik für Gynäkologie mit Brustzentrum, CCM; Klinik für Gynäkologie mit Zentrum für onkologische Chirurgie, CVK; Klinik für Geburtsmedizin; Klinik für Neonatologie; Arbeitsbereich Physikalische Medizin; Klinik für Pädiatrie m.S. Gastroenterologie, Nephrologie und Stoffwechselmedizin; Klinik für pädiatrische Endokrinologie; Klinik für Pädiatrie m.S. Onkologie und Hämatologie; Klinik für Pädiatrie m.S. Pneumologie, Immunologie und Intensivmedizin; Klinik für Pädiatrie m.S. Neurologie; Klinik für Kinderchirurgie; Klinik für Psychiatrie, Psychosomatik und Psychotherapie des Kindes- und Jugendalters; Klinik für Nuklearmedizin; Klinik für Radioonkologie und Strahlentherapie; Klinik für Radiologie (mit dem Bereich Kinderradiologie); Klinik für Anästhesiologie m. S. operative Intensivmedizin, CCM/CVK; Klinik für Anästhesiologie m.S. operative Intensivmedizin, CBF; CharitéCentrum für Zahn-, Mund- und Kieferheilkunde; Institut für Hygiene und Umweltmedizin; Institut für Transfusionsmedizin; Institut für Pathologie; Institut für Medizinische Genetik und Humangenetik; Institut für Neuropathologie; Institut für Mikrobiologie und Infektionsimmunologie; Institut für Virologie CCM; Institut für Laboratoriumsmedizin, Klinische Chemie und Pathobiochemie; Institut für Klinische Pharmakologie und Toxikologie; Institut für Allgemeinmedizin; Institut für Medizinische Psychologie; Institut für Sexualwissenschaft und Sexualmedizin; Institut für Rechtsmedizin; Institut für Forensische Psychiatrie; Institut für Medizinische Immunologie; Charité Comprehensive Cancer Center",,AA01; AA08; AA10; AA14; AA15; AA18; AA21; AA22; AA23; AA26; AA32; AA33; AA38; AA43; AA47; AA56; AA57; AA30; AA50; AA70,http://www.charite.de,http://www.charite.de/,http://www.charite.de/klinikum/
